train/ent_coef,train/n_updates,train/actor_loss,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/fps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.009999999776482582,4626,-198.1213836669922,3064,172,17.63,77,0.16,39,50.187578201293945,0.0003,42.371013430000005,,,
0.009999999776482582,4786,-194.6200714111328,3144,176,18.0,80,0.13,39,36.553306579589844,0.0003,36.79842534,,,
0.009999999776482582,4946,-199.3148193359375,3224,180,18.3,82,0.11,38,90.03341102600098,0.0003,33.276533449999995,,,
0.009999999776482582,5106,-196.87567138671875,3304,184,18.81,85,0.08,38,61.34191131591797,0.0003,26.570087790000002,,,
0.009999999776482582,5266,-195.78308868408203,3384,188,19.15,87,0.06,38,42.850982666015625,0.0003,22.57107615,,,
0.009999999776482582,5426,-189.6041259765625,3464,192,19.15,90,0.06,38,48.62972450256348,0.0003,23.531182440000002,,,
0.009999999776482582,5586,-188.59723663330078,3544,196,19.15,92,0.06,38,56.59341049194336,0.0003,24.28769364,,,
0.009999999776482582,5746,-197.09192657470703,3624,200,19.33,94,0.05,38,61.669551849365234,0.0003,22.738288290000003,,,
0.009999999776482582,5906,-196.6157455444336,3704,204,19.42,97,0.04,38,215.61814498901367,0.0003,21.43127799,,,
0.009999999776482582,6066,-194.798583984375,3784,208,19.88,99,0.01,37,51.23562049865723,0.0003,16.45021071,,,
0.009999999776482582,6226,-192.68896484375,3864,212,20.0,102,0.0,37,44.45182991027832,0.0003,13.804443370000001,,,
0.009999999776482582,6386,-200.57777404785156,3944,216,20.0,104,0.0,37,49.84380531311035,0.0003,14.188846070000002,,,
0.009999999776482582,6546,-202.95086669921875,4024,220,20.0,112,0.0,35,65.34231567382812,0.0003,15.167299460000002,7.6841574249182925,0.0,20.0
0.009999999776482582,6706,-199.08222198486328,4104,224,20.0,115,0.0,35,64.45887756347656,0.0003,15.46881165,,,
0.009999999776482582,6866,-202.73377227783203,4184,228,20.0,117,0.0,35,54.872894287109375,0.0003,15.73744169,,,
0.009999999776482582,7026,-201.59847259521484,4264,232,20.0,119,0.0,35,100.76739501953125,0.0003,16.41444804,,,
0.009999999776482582,7186,-209.4347915649414,4344,236,20.0,122,0.0,35,46.23638343811035,0.0003,17.017797830000003,,,
0.009999999776482582,7346,-207.58377075195312,4424,240,20.0,124,0.0,35,39.59498596191406,0.0003,16.46216639,,,
0.009999999776482582,7506,-204.59178924560547,4504,244,20.0,127,0.0,35,60.16397666931152,0.0003,16.78341438,,,
0.009999999776482582,7666,-206.67212677001953,4584,248,20.0,129,0.0,35,36.74433517456055,0.0003,17.3399784,,,
0.009999999776482582,7826,-216.76117706298828,4664,252,20.0,132,0.0,35,43.59124183654785,0.0003,17.07273129,,,
0.009999999776482582,7986,-211.9945526123047,4744,256,20.0,135,0.0,35,50.761688232421875,0.0003,18.06668085,,,
0.009999999776482582,8146,-210.9213104248047,4824,260,20.0,137,0.0,34,45.36855697631836,0.0003,18.33383449,,,
0.009999999776482582,8306,-217.2182159423828,4904,264,20.0,140,0.0,34,32.25162887573242,0.0003,18.40035344,,,
0.009999999776482582,8466,-213.00230407714844,4984,268,20.0,142,0.0,34,45.45919418334961,0.0003,18.48545692,,,
0.009999999776482582,8626,-216.0807876586914,5064,272,20.0,145,0.0,34,90.53895473480225,0.0003,19.052583040000002,,,
0.009999999776482582,8786,-214.62267303466797,5144,276,20.0,148,0.0,34,32.1751594543457,0.0003,18.315128520000002,,,
0.009999999776482582,8946,-219.14028930664062,5224,280,20.0,150,0.0,34,34.88903045654297,0.0003,19.714680239999996,,,
0.009999999776482582,9106,-219.61075592041016,5304,284,20.0,153,0.0,34,32.6616268157959,0.0003,20.609726470000002,,,
0.009999999776482582,9266,-219.31389617919922,5384,288,20.0,155,0.0,34,32.1096076965332,0.0003,21.196903479999996,,,
0.009999999776482582,9426,-218.23626708984375,5464,292,20.0,158,0.0,34,25.227354049682617,0.0003,21.41084618,,,
0.009999999776482582,9586,-216.73223114013672,5544,296,20.0,161,0.0,34,29.001277923583984,0.0003,21.33775197,,,
0.009999999776482582,9746,-225.1581268310547,5624,300,20.0,163,0.0,34,18.98361587524414,0.0003,23.993297800000004,,,
