rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
4.33,200.01855545,0.0,32,63,2095,248,0.0,0.91,0.009999999776482582,2188,81.37264633178711,0.0003,-192.18243408203125,,,
4.31,199.44275298,0.0,32,64,2105,252,0.0,0.91,0.009999999776482582,2208,64.80782699584961,0.0003,-194.569091796875,,,
4.31,198.93028166,0.0,32,64,2117,256,0.0,0.91,0.009999999776482582,2232,61.19636535644531,0.0003,-192.03351593017578,,,
4.3,198.38314294999998,0.0,32,65,2128,260,0.0,0.91,0.009999999776482582,2254,73.86886024475098,0.0003,-199.22437286376953,,,
4.13,200.4084561,0.0,32,66,2139,264,0.0,0.92,0.009999999776482582,2276,72.97928619384766,0.0003,-197.22295379638672,,,
4.29,197.76009401999997,0.0,32,67,2166,268,0.0,0.91,0.009999999776482582,2330,83.75911331176758,0.0003,-198.36772918701172,,,
4.34,197.89266886999997,0.0,32,68,2182,272,0.0,0.91,0.009999999776482582,2362,77.4189682006836,0.0003,-200.96710968017578,,,
4.17,200.20854521,0.0,31,68,2192,276,0.0,0.92,0.009999999776482582,2382,59.99937057495117,0.0003,-203.09754180908203,,,
4.2,200.42540637,0.0,31,69,2204,280,0.0,0.92,0.009999999776482582,2406,69.05651664733887,0.0003,-202.3436279296875,,,
4.37,198.2893581,0.0,31,71,2248,284,0.0,0.91,0.009999999776482582,2494,68.14899826049805,0.0003,-202.57176971435547,,,
4.42,198.35562704000003,0.0,31,72,2280,288,0.0,0.91,0.009999999776482582,2558,60.72859001159668,0.0003,-201.43669891357422,,,
4.59,196.11289440000002,0.0,31,73,2306,292,0.0,0.9,0.009999999776482582,2610,50.18867301940918,0.0003,-202.13410186767578,,,
4.56,195.87949797000002,0.0,31,74,2314,296,0.0,0.9,0.009999999776482582,2626,51.33068656921387,0.0003,-200.87337493896484,,,
4.23,200.21292066,0.0,31,74,2326,300,0.0,0.92,0.009999999776482582,2650,53.51962852478027,0.0003,-200.14327239990234,,,
4.02,202.32005294,0.0,31,75,2334,304,0.0,0.93,0.009999999776482582,2666,42.99020004272461,0.0003,-202.71001434326172,,,
4.08,202.74144674,0.0,30,76,2350,308,0.0,0.93,0.009999999776482582,2698,52.2009334564209,0.0003,-202.23504638671875,,,
4.26,200.67178991000003,0.0,30,77,2376,312,0.0,0.92,0.009999999776482582,2750,51.45403289794922,0.0003,-204.45671844482422,,,
4.27,200.64708396000003,0.0,30,77,2388,316,0.0,0.92,0.009999999776482582,2774,62.13881874084473,0.0003,-206.47525787353516,,,
4.23,200.45772867,0.0,30,78,2396,320,0.0,0.92,0.009999999776482582,2790,64.24552917480469,0.0003,-200.80189514160156,,,
4.01,202.33291900999996,0.0,30,78,2404,324,0.0,0.93,0.009999999776482582,2806,58.24684143066406,0.0003,-200.8330841064453,,,
3.96,202.21141237,0.0,30,79,2412,328,0.0,0.93,0.009999999776482582,2822,56.23659133911133,0.0003,-205.61819458007812,,,
3.91,201.95336043999998,0.0,30,79,2420,332,0.0,0.93,0.009999999776482582,2838,63.97214317321777,0.0003,-203.1849136352539,,,
3.9,201.91142223999995,0.0,30,80,2430,336,0.0,0.93,0.009999999776482582,2858,64.22147941589355,0.0003,-202.89517974853516,,,
4.08,199.57331622,0.0,30,81,2461,340,0.0,0.92,0.009999999776482582,2920,86.2017593383789,0.0003,-207.83929443359375,,,
4.26,199.89728209999998,0.0,29,83,2493,344,0.0,0.92,0.009999999776482582,2984,84.8595962524414,0.0003,-209.31796264648438,,,
