time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
49,8160,204,165,0.0,-24.58867158,40.0,0.11678113043308258,-14.437877655029297,0.0003,7159,0.022524096071720123,-11.065850257873535,,,
49,8320,208,168,0.0,-24.367552039999996,40.0,0.11131086945533752,-14.793492317199707,0.0003,7319,0.021061163395643234,-10.534199714660645,,,
49,8480,212,172,0.0,-24.415467749999998,40.0,0.10609672218561172,-15.023826599121094,0.0003,7479,0.020556893199682236,-10.292280197143555,,,
49,8640,216,176,0.0,-24.353148970000003,40.0,0.10112901031970978,-15.433467864990234,0.0003,7639,0.01948157697916031,-9.85801887512207,,,
48,8800,220,179,0.0,-24.207786770000002,40.0,0.0963931456208229,-15.684174537658691,0.0003,7799,0.01705574057996273,-9.634167671203613,,,
48,8960,224,183,0.0,-24.103107320000003,40.0,0.09187839925289154,-16.015762329101562,0.0003,7959,0.01683402806520462,-9.276579856872559,,,
48,9120,228,186,0.0,-24.093180160000006,40.0,0.08757594972848892,-16.386478424072266,0.0003,8119,0.017788447439670563,-8.618688583374023,,,
48,9280,232,190,0.0,-24.08332942,40.0,0.08347494900226593,-16.651277542114258,0.0003,8279,0.017874205484986305,-8.24991512298584,,,
48,9440,236,193,0.0,-24.033108379999998,40.0,0.07956916093826294,-16.992515563964844,0.0003,8439,0.02033909037709236,-7.612297058105469,,,
48,9600,240,197,0.0,-24.127135600000003,40.0,0.07584550976753235,-17.243513107299805,0.0003,8599,0.022534484043717384,-7.585485935211182,,,
48,9760,244,201,0.0,-24.08744966,40.0,0.0722958967089653,-17.739585876464844,0.0003,8759,0.021548399701714516,-7.055998802185059,,,
48,9920,248,204,0.0,-24.200711969999997,40.0,0.06891310960054398,-17.986047744750977,0.0003,8919,0.01809930056333542,-6.8180460929870605,,,
,10000,,,,,,0.06728238612413406,-18.23910140991211,0.0003,8999,0.022009022533893585,-6.3907670974731445,-23.056214399999998,40.0,0.0
47,10080,252,211,0.0,-24.193644550000002,40.0,0.06568882614374161,-18.20090103149414,0.0003,9079,0.0186476968228817,-6.150430202484131,,,
47,10240,256,215,0.0,-23.949918690000004,40.0,0.06261499226093292,-18.68718147277832,0.0003,9239,0.01999405398964882,-5.9307661056518555,,,
47,10400,260,219,0.0,-23.975563219999998,40.0,0.059685610234737396,-18.758230209350586,0.0003,9399,0.016941767185926437,-5.017909526824951,,,
47,10560,264,222,0.0,-24.100133149999998,40.0,0.056894876062870026,-19.160057067871094,0.0003,9559,0.02152753621339798,-4.906599044799805,,,
47,10720,268,226,0.0,-23.85473329,40.0,0.05423567816615105,-19.57006072998047,0.0003,9719,0.01761433109641075,-4.668796539306641,,,
47,10880,272,229,0.0,-23.906553009999996,40.0,0.05170101299881935,-19.912935256958008,0.0003,9879,0.01825094036757946,-3.645665168762207,,,
47,11040,276,232,0.0,-24.01838072,40.0,0.04928557947278023,-19.970125198364258,0.0003,10039,0.02159455046057701,-3.399919033050537,,,
47,11200,280,236,0.0,-24.1669243,40.0,0.046983711421489716,-20.41547393798828,0.0003,10199,0.020084252581000328,-3.1497879028320312,,,
47,11360,284,239,0.0,-24.206019960000003,40.0,0.044792287051677704,-20.711942672729492,0.0003,10359,0.01989779621362686,-2.5066075325012207,,,
