rollout/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,568,20.0,29,10119,346,64.3627304,0.009999999776482582,18236,24.797972202301025,-313.9436798095703,0.0003,,,
0.0,572,20.0,29,10199,349,63.768459459999995,0.009999999776482582,18396,41.821228981018066,-314.531494140625,0.0003,,,
0.0,576,20.0,29,10279,351,64.72241673000002,0.009999999776482582,18556,32.11204528808594,-314.6697235107422,0.0003,,,
0.0,580,20.0,29,10359,354,64.49408955999999,0.009999999776482582,18716,28.31085205078125,-318.16270446777344,0.0003,,,
0.0,584,20.0,29,10439,357,64.37468423,0.009999999776482582,18876,8.941925048828125,-319.3642120361328,0.0003,,,
0.0,588,20.0,29,10519,359,62.698159970000006,0.009999999776482582,19036,15.167009830474854,-321.0110168457031,0.0003,,,
0.0,592,20.0,29,10599,362,63.6806529,0.009999999776482582,19196,13.738402366638184,-321.50929260253906,0.0003,,,
0.0,596,20.0,29,10679,365,64.39280863,0.009999999776482582,19356,65.0543441772461,-323.8909912109375,0.0003,,,
0.0,600,20.0,29,10759,367,65.10875361,0.009999999776482582,19516,21.531328201293945,-325.9942169189453,0.0003,,,
0.0,604,20.0,29,10839,370,63.98720984,0.009999999776482582,19676,35.02532386779785,-324.8643493652344,0.0003,,,
0.0,608,20.0,29,10919,373,64.13699211,0.009999999776482582,19836,11.358386993408203,-323.3541717529297,0.0003,,,
0.0,612,20.0,29,10999,375,63.667178459999995,0.009999999776482582,19996,10.322977066040039,-324.5863800048828,0.0003,,,
0.0,616,20.0,29,11079,378,62.875641110000004,0.009999999776482582,20156,29.351964950561523,-326.3983154296875,0.0003,,,
0.0,620,20.0,29,11159,381,64.38437213,0.009999999776482582,20316,25.582056999206543,-329.0011901855469,0.0003,,,
0.0,624,20.0,29,11239,383,64.53593118,0.009999999776482582,20476,16.669462203979492,-332.29396057128906,0.0003,,,
0.0,628,20.0,29,11319,386,64.14524391,0.009999999776482582,20636,24.444400787353516,-330.10252380371094,0.0003,,,
0.0,632,20.0,29,11399,388,64.85104264,0.009999999776482582,20796,59.23999786376953,-331.8934020996094,0.0003,,,
0.0,636,20.0,29,11479,391,64.91961595000001,0.009999999776482582,20956,19.163156509399414,-332.809814453125,0.0003,,,
0.0,640,20.0,29,11559,394,64.58013197,0.009999999776482582,21116,30.455260276794434,-334.27699279785156,0.0003,,,
0.0,644,20.0,29,11639,396,65.55411079000001,0.009999999776482582,21276,56.47710037231445,-333.8439636230469,0.0003,,,
0.0,648,20.0,29,11719,399,65.5325381,0.009999999776482582,21436,7.111651659011841,-335.4324645996094,0.0003,,,
0.0,652,20.0,29,11799,402,65.55399813,0.009999999776482582,21596,10.20917534828186,-338.3032989501953,0.0003,,,
0.0,656,20.0,29,11879,404,64.97431501000001,0.009999999776482582,21756,34.91541337966919,-338.1841735839844,0.0003,,,
0.0,660,20.0,29,11959,407,65.14174631,0.009999999776482582,21916,24.825591564178467,-339.69395446777344,0.0003,,,
0.0,664,20.0,28,12039,415,63.61487499,0.009999999776482582,22076,84.80633544921875,-338.76513671875,0.0003,59.22688296053595,0.0,20.0
0.0,668,20.0,28,12119,418,64.12634061,0.009999999776482582,22236,44.160804748535156,-340.3209686279297,0.0003,,,
0.0,672,20.0,28,12199,421,64.73925379999999,0.009999999776482582,22396,14.271580696105957,-341.89173889160156,0.0003,,,
0.0,676,20.0,28,12279,423,64.89217993,0.009999999776482582,22556,10.228582382202148,-342.3629455566406,0.0003,,,
0.0,680,20.0,28,12359,426,65.55581253000001,0.009999999776482582,22716,14.984813690185547,-342.3968200683594,0.0003,,,
0.0,684,20.0,29,12439,428,65.2204908,0.009999999776482582,22876,15.955880880355835,-344.1864929199219,0.0003,,,
0.0,688,20.0,29,12519,431,65.47014914,0.009999999776482582,23036,12.000233173370361,-344.9263916015625,0.0003,,,
0.0,692,20.0,29,12599,434,65.06655444,0.009999999776482582,23196,26.406728744506836,-348.03123474121094,0.0003,,,
0.0,696,20.0,29,12679,436,64.10997721,0.009999999776482582,23356,38.83101272583008,-346.8176727294922,0.0003,,,
0.0,700,20.0,29,12759,439,63.486801379999996,0.009999999776482582,23516,35.261624336242676,-347.0111083984375,0.0003,,,
0.0,704,20.0,29,12839,442,63.89570413999999,0.009999999776482582,23676,68.72221755981445,-346.47021484375,0.0003,,,
0.0,708,20.0,29,12919,444,64.95138256999999,0.009999999776482582,23836,34.020652770996094,-349.6193389892578,0.0003,,,
0.0,712,20.0,29,12999,447,64.60604624000001,0.009999999776482582,23996,38.59531211853027,-349.6411590576172,0.0003,,,
0.0,716,20.0,29,13079,449,65.74526353,0.009999999776482582,24156,16.314971923828125,-352.18626403808594,0.0003,,,
0.0,720,20.0,29,13159,452,64.53754200999998,0.009999999776482582,24316,28.415658950805664,-352.9744110107422,0.0003,,,
0.0,724,20.0,29,13239,455,64.79701219999998,0.009999999776482582,24476,31.9354829788208,-352.60777282714844,0.0003,,,
0.0,728,20.0,29,13319,457,65.14340297000001,0.009999999776482582,24636,16.24496555328369,-355.4759063720703,0.0003,,,
0.0,732,20.0,29,13399,460,65.28881908,0.009999999776482582,24796,32.27952289581299,-355.36546325683594,0.0003,,,
0.0,736,20.0,29,13479,463,65.83590342,0.009999999776482582,24956,30.196231842041016,-357.0162048339844,0.0003,,,
0.0,740,20.0,29,13559,465,66.01096695,0.009999999776482582,25116,28.44332981109619,-355.9304656982422,0.0003,,,
0.0,744,20.0,29,13639,467,65.29509502,0.009999999776482582,25276,44.8062858581543,-357.5166473388672,0.0003,,,
0.0,748,20.0,29,13719,470,65.78277968000002,0.009999999776482582,25436,11.560491561889648,-356.5135498046875,0.0003,,,
0.02,752,19.72,29,13771,472,68.79425738,0.009999999776482582,25540,76.9798355102539,-361.6351623535156,0.0003,,,
