curriculum/randomize_probability,time/fps,rollout/success_rate,curriculum/stage_index,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.0,31,0.26,0.0,16.78,148,71.02697445,524,4721,0.0003,0.009999999776482582,-260.3809814453125,91.51836776733398,7440,,,
0.0,31,0.22,0.0,17.29,150,62.70507514,528,4801,0.0003,0.009999999776482582,-264.0821990966797,95.98829650878906,7600,,,
0.0,31,0.18,0.0,17.87,153,54.713488129999995,532,4881,0.0003,0.009999999776482582,-265.69891357421875,98.63215255737305,7760,,,
0.0,31,0.15,0.0,18.3,156,49.07437807,536,4961,0.0003,0.009999999776482582,-265.1091003417969,102.05256271362305,7920,,,
0.0,31,0.11,0.0,18.81,158,41.420137860000004,540,5041,0.0003,0.009999999776482582,-267.204345703125,66.07569122314453,8080,,,
0.0,31,0.07,0.0,19.27,161,33.65352516,544,5121,0.0003,0.009999999776482582,-269.21055603027344,115.00038528442383,8240,,,
0.0,31,0.03,0.0,19.7,163,25.708447170000003,548,5201,0.0003,0.009999999776482582,-271.0190124511719,87.94681930541992,8400,,,
0.0,31,0.0,0.0,20.0,166,19.51194436,552,5281,0.0003,0.009999999776482582,-270.63067626953125,120.18505096435547,8560,,,
0.0,31,0.0,0.0,20.0,169,19.47414903,556,5361,0.0003,0.009999999776482582,-271.3059539794922,106.45193481445312,8720,,,
0.0,31,0.0,0.0,20.0,172,19.94170469,560,5441,0.0003,0.009999999776482582,-271.6739807128906,93.86759185791016,8880,,,
0.0,31,0.0,0.0,20.0,174,20.435870330000004,564,5521,0.0003,0.009999999776482582,-273.3483428955078,104.50728225708008,9040,,,
0.0,31,0.0,0.0,20.0,177,20.4471086,568,5601,0.0003,0.009999999776482582,-275.36985778808594,70.79281044006348,9200,,,
0.0,31,0.0,0.0,20.0,179,20.42128579,572,5681,0.0003,0.009999999776482582,-277.99571228027344,97.85125732421875,9360,,,
