rollout/success_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates
0.01,285,5826,368,-19.83937779,15.91,20,,,,0.0003,0.25050315260887146,19.37653350830078,12.458422660827637,-6.711347579956055,4825
0.01,288,5890,372,-19.867421130000004,15.91,20,,,,0.0003,0.2462514489889145,13.369268417358398,12.059080123901367,-6.806051731109619,4889
0.01,291,5954,376,-19.92694811,15.91,20,,,,0.0003,0.2419901192188263,15.731653213500977,28.210086822509766,-6.774453639984131,4953
,,6000,,,,,16.0,0.0,-24.709664699999998,0.0003,0.23910441994667053,14.527283668518066,219.28648376464844,-7.1019768714904785,4999
0.0,299,6018,380,-19.79075721,16.0,20,,,,0.0003,0.23791301250457764,15.758749008178711,214.678466796875,-6.7646708488464355,5017
0.01,301,6068,384,-19.4717027,15.86,20,,,,0.0003,0.23471857607364655,18.699779510498047,16.174089431762695,-6.741579055786133,5067
0.01,304,6132,388,-19.463779799999998,15.86,20,,,,0.0003,0.23068781197071075,23.379581451416016,14.856412887573242,-7.075020790100098,5131
0.01,307,6196,392,-19.44070186,15.86,20,,,,0.0003,0.2268129587173462,17.36958122253418,137.22052001953125,-6.592897415161133,5195
0.01,311,6260,396,-19.50506502,15.86,20,,,,0.0003,0.22310353815555573,14.804230690002441,186.35565185546875,-6.719299793243408,5259
0.01,314,6324,400,-19.57688577,15.86,20,,,,0.0003,0.2194340080022812,6.9263691902160645,129.6226806640625,-6.760214805603027,5323
0.01,317,6388,404,-19.29334223,15.86,20,,,,0.0003,0.2158159464597702,16.96904754638672,10.875492095947266,-7.357131004333496,5387
0.01,320,6452,408,-19.44149397,15.86,20,,,,0.0003,0.2122087925672531,13.035917282104492,23.73615264892578,-6.784161567687988,5451
0.01,323,6516,412,-19.330744239999998,15.86,20,,,,0.0003,0.2086971402168274,16.154617309570312,190.35606384277344,-6.726301670074463,5515
0.02,325,6567,416,-19.186088409999996,15.73,20,,,,0.0003,0.2059541493654251,29.975189208984375,117.02639770507812,-6.458437919616699,5566
0.02,328,6631,420,-19.004404710000003,15.73,20,,,,0.0003,0.2026575207710266,21.06989288330078,25.641780853271484,-6.349958419799805,5630
0.02,331,6695,424,-19.372685360000006,15.73,20,,,,0.0003,0.1995454579591751,13.886797904968262,135.31121826171875,-6.576486587524414,5694
0.02,334,6759,428,-19.676403720000003,15.73,20,,,,0.0003,0.1963367909193039,24.08956527709961,32.628807067871094,-6.732334136962891,5758
0.02,337,6823,432,-19.631167050000002,15.73,20,,,,0.0003,0.1932060718536377,22.228599548339844,30.692598342895508,-6.373120307922363,5822
0.02,341,6887,436,-20.019060460000002,15.73,20,,,,0.0003,0.19011378288269043,18.986331939697266,8.10456657409668,-6.271579742431641,5886
0.02,344,6951,440,-20.233278900000002,15.73,20,,,,0.0003,0.18723788857460022,17.3789005279541,401.3748779296875,-6.517881870269775,5950
,,7000,,,,,16.0,0.0,-16.757320400000005,0.0003,0.18495872616767883,27.195783615112305,21.72846221923828,-6.370415687561035,5999
0.02,351,7015,444,-20.14894648,15.73,19,,,,0.0003,0.18429937958717346,19.379487991333008,21.564922332763672,-6.884058952331543,6014
0.02,355,7079,448,-20.44962245,15.73,19,,,,0.0003,0.18138843774795532,20.932628631591797,27.0509090423584,-6.206846237182617,6078
0.03,357,7132,452,-20.46030698,15.62,19,,,,0.0003,0.1790972203016281,18.891345977783203,11.238883972167969,-5.29282808303833,6131
0.03,361,7196,456,-20.57322468,15.62,19,,,,0.0003,0.17653509974479675,30.575193405151367,20.498266220092773,-5.908161640167236,6195
0.03,364,7260,460,-20.616563039999996,15.62,19,,,,0.0003,0.1738065481185913,20.41706085205078,19.842510223388672,-6.495567321777344,6259
0.03,367,7324,464,-20.919120650000004,15.62,19,,,,0.0003,0.1711885780096054,22.12934684753418,26.71398162841797,-6.376847743988037,6323
0.03,370,7388,468,-20.920191220000003,15.62,19,,,,0.0003,0.1686120182275772,26.32923126220703,20.25437355041504,-5.935879230499268,6387
0.03,373,7452,472,-21.287316640000004,15.62,19,,,,0.0003,0.16610915958881378,18.479299545288086,13.60359001159668,-6.478211402893066,6451
0.03,376,7516,476,-21.42414383,15.62,19,,,,0.0003,0.16379515826702118,29.932165145874023,23.745351791381836,-5.697238445281982,6515
0.03,379,7580,480,-21.54669088,15.62,19,,,,0.0003,0.16155126690864563,25.837430953979492,20.17823028564453,-5.698351860046387,6579
0.02,382,7644,484,-22.143592790000003,15.76,19,,,,0.0003,0.15936829149723053,26.093225479125977,55.822509765625,-5.82309627532959,6643
0.02,385,7708,488,-22.03826041,15.76,19,,,,0.0003,0.1569695770740509,23.49596405029297,42.460548400878906,-5.456435680389404,6707
0.02,388,7772,492,-22.06726639,15.76,19,,,,0.0003,0.15479405224323273,29.635610580444336,27.067852020263672,-5.492913246154785,6771
0.02,391,7836,496,-21.82463339,15.76,19,,,,0.0003,0.15254215896129608,35.85276794433594,156.82786560058594,-4.84716796875,6835
0.02,394,7900,500,-21.62517156,15.76,20,,,,0.0003,0.15057756006717682,28.572742462158203,31.323898315429688,-4.356997966766357,6899
0.03,397,7950,504,-21.178400549999996,15.62,19,,,,0.0003,0.14902307093143463,25.536725997924805,20.9376163482666,-5.234087944030762,6949
,,8000,,,,,16.0,0.0,-20.8718462,0.0003,0.14732038974761963,36.64034652709961,31.678081512451172,-4.644010066986084,6999
0.03,405,8014,508,-21.17859794,15.62,19,,,,0.0003,0.1469096541404724,28.635498046875,65.82789611816406,-3.193331480026245,7013
0.03,408,8078,512,-21.15349078,15.62,19,,,,0.0003,0.1451432853937149,28.194849014282227,16.312124252319336,-4.11835241317749,7077
0.02,411,8142,516,-21.531643250000002,15.75,19,,,,0.0003,0.14327318966388702,26.964698791503906,10.861207008361816,-3.6524548530578613,7141
0.02,414,8206,520,-21.52696151,15.75,19,,,,0.0003,0.14152340590953827,26.683673858642578,18.706573486328125,-3.8304405212402344,7205
0.02,417,8270,524,-21.371516550000003,15.75,19,,,,0.0003,0.13984355330467224,40.7247314453125,83.09759521484375,-3.4082796573638916,7269
0.02,420,8334,528,-21.196273530000003,15.75,19,,,,0.0003,0.1383051574230194,22.505390167236328,32.49484634399414,-4.336153030395508,7333
0.02,423,8398,532,-21.239847729999997,15.75,19,,,,0.0003,0.13682273030281067,25.235706329345703,407.12615966796875,-3.5503625869750977,7397
0.02,426,8462,536,-20.86380542,15.75,19,,,,0.0003,0.13527590036392212,24.57678985595703,597.6489868164062,-4.229602813720703,7461
0.02,429,8526,540,-21.080272319999995,15.75,19,,,,0.0003,0.1338774561882019,25.360076904296875,17.166709899902344,-3.763059139251709,7525
0.02,432,8590,544,-21.224779630000004,15.75,19,,,,0.0003,0.13261543214321136,35.394874572753906,69.94599914550781,-3.9566872119903564,7589
0.02,435,8654,548,-21.137228949999997,15.75,19,,,,0.0003,0.13119472563266754,21.093402862548828,28.8543701171875,-3.536421060562134,7653
0.01,437,8718,552,-21.821820230000004,15.86,19,,,,0.0003,0.1298244595527649,29.87183952331543,1032.3677978515625,-4.191386699676514,7717
0.01,440,8782,556,-21.78944443,15.86,19,,,,0.0003,0.12831714749336243,27.278261184692383,19.058542251586914,-3.3471193313598633,7781
0.01,443,8846,560,-21.765851689999998,15.86,19,,,,0.0003,0.12694016098976135,27.911327362060547,69.62489318847656,-3.1878013610839844,7845
0.01,445,8910,564,-21.86758286,15.86,19,,,,0.0003,0.12569311261177063,33.21441650390625,60.326271057128906,-3.087373733520508,7909
0.01,448,8974,568,-21.79867447,15.86,20,,,,0.0003,0.1244342029094696,29.989206314086914,35.951026916503906,-3.1332759857177734,7973
,,9000,,,,,16.0,0.0,-19.5611334,0.0003,0.12395824491977692,23.09492301940918,29.32914924621582,-1.8219157457351685,7999
0.01,455,9038,572,-21.77264703,15.86,19,,,,0.0003,0.12335145473480225,33.90227508544922,36.34825897216797,-2.108886241912842,8037
0.01,458,9102,576,-21.597699549999998,15.86,19,,,,0.0003,0.12237092852592468,30.28112030029297,48.97608947753906,-2.79732084274292,8101
0.01,460,9166,580,-21.60039783,15.86,19,,,,0.0003,0.12154548615217209,25.212249755859375,29.386117935180664,-2.0206873416900635,8165
0.01,463,9230,584,-21.642306870000002,15.86,19,,,,0.0003,0.12062039971351624,51.550968170166016,4732.6025390625,-1.167776107788086,8229
0.01,465,9294,588,-21.801535239999993,15.86,19,,,,0.0003,0.11956647783517838,42.663063049316406,39.230308532714844,-1.0795009136199951,8293
0.02,468,9350,592,-21.571968850000005,15.78,19,,,,0.0003,0.11855751276016235,27.379409790039062,21.069866180419922,-3.711394786834717,8349
0.02,470,9414,596,-21.951204079999997,15.78,19,,,,0.0003,0.11744272708892822,64.98021697998047,71.68083190917969,-1.6769604682922363,8413
0.02,473,9478,600,-22.182321320000007,15.78,20,,,,0.0003,0.11641645431518555,35.80078887939453,43.441383361816406,-2.2440903186798096,8477
0.01,475,9542,604,-22.691976970000006,15.92,20,,,,0.0003,0.11543545126914978,33.16973114013672,39.278656005859375,-2.181398868560791,8541
0.01,478,9606,608,-22.922641850000005,15.92,20,,,,0.0003,0.11450725048780441,40.3258056640625,652.4376831054688,-2.283484935760498,8605
0.01,480,9670,612,-22.79287693,15.92,20,,,,0.0003,0.11349499225616455,39.87074279785156,21.085542678833008,-2.2366883754730225,8669
0.01,483,9734,616,-22.651473920000004,15.92,20,,,,0.0003,0.11242873221635818,27.27404022216797,67.26814270019531,-1.4891101121902466,8733
0.01,486,9798,620,-22.80943667,15.92,20,,,,0.0003,0.1115918979048729,36.27573776245117,31.859987258911133,-1.6689238548278809,8797
0.01,489,9862,624,-22.702182089999997,15.92,20,,,,0.0003,0.11068808287382126,31.30767250061035,25.725109100341797,-0.290455162525177,8861
0.01,492,9926,628,-22.57334882,15.92,20,,,,0.0003,0.11004944890737534,29.621492385864258,1230.207763671875,-0.7759222388267517,8925
0.01,494,9990,632,-22.66681888,15.92,20,,,,0.0003,0.1093054786324501,39.36928939819336,54.87126922607422,-1.6523972749710083,8989
,,10000,,,,,16.0,0.0,-22.122740900000004,0.0003,0.10916849225759506,38.37188720703125,64.91638946533203,-2.4337363243103027,8999
