time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/fps,train/ent_coef,rollout/success_rate,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
510,-0.047058749999999705,25948,27.6,45,0.009999999776482582,0.0,-63.74995422363281,2.201258897781372,748,0.0003,23049,29.7,-1.6025480218125125,0.0
513,-0.5737826699999999,26076,27.6,45,0.009999999776482582,0.0,-64.92997741699219,3.604916572570801,752,0.0003,23177,,,
514,-0.5748037300000002,26182,27.38,45,0.009999999776482582,0.0,-64.26258850097656,6.0427775382995605,756,0.0003,23283,,,
516,-1.07766201,26310,27.38,45,0.009999999776482582,0.0,-61.70634460449219,9.466888427734375,760,0.0003,23411,,,
518,-0.7957347699999998,26438,27.38,45,0.009999999776482582,0.0,-63.227054595947266,1.720497488975525,764,0.0003,23539,,,
520,-0.44786542000000007,26566,27.38,45,0.009999999776482582,0.0,-62.75753402709961,1.2471249103546143,768,0.0003,23667,,,
523,-0.6436256000000004,26694,27.38,45,0.009999999776482582,0.0,-62.81299591064453,1.443877935409546,772,0.0003,23795,,,
525,-0.7366323500000003,26822,27.92,45,0.009999999776482582,0.0,-62.364967346191406,1.0039558410644531,776,0.0003,23923,,,
533,-0.6817035499999998,26950,27.92,45,0.009999999776482582,0.0,-60.671905517578125,2.2342655658721924,780,0.0003,24051,32.0,2.9759183155185305,0.0
535,-0.6123605499999998,27078,27.92,45,0.009999999776482582,0.0,-60.29435348510742,0.784565806388855,784,0.0003,24179,,,
537,-0.40642274999999983,27206,27.92,45,0.009999999776482582,0.0,-62.248260498046875,0.5391458868980408,788,0.0003,24307,,,
539,-0.55525224,27334,27.92,45,0.009999999776482582,0.0,-61.45762634277344,4.522305011749268,792,0.0003,24435,,,
541,-0.8700872700000004,27462,27.92,45,0.009999999776482582,0.0,-64.81446838378906,0.9657028913497925,796,0.0003,24563,,,
543,-1.4700115000000005,27590,28.17,45,0.009999999776482582,0.0,-60.34000778198242,2.776512861251831,800,0.0003,24691,,,
545,-0.8474658300000002,27718,28.73,45,0.009999999776482582,0.0,-63.347816467285156,0.6523154973983765,804,0.0003,24819,,,
547,-1.65445989,27846,28.88,45,0.009999999776482582,0.0,-62.48419189453125,3.3962364196777344,808,0.0003,24947,,,
555,-1.09034691,27974,29.16,45,0.009999999776482582,0.0,-63.7038688659668,0.8182852268218994,812,0.0003,25075,32.0,-4.290665368417654,0.0
557,-0.08373701999999993,28102,29.66,45,0.009999999776482582,0.0,-64.91378784179688,0.7898861169815063,816,0.0003,25203,,,
559,-0.36696983000000016,28230,29.94,45,0.009999999776482582,0.0,-61.031837463378906,1.2229387760162354,820,0.0003,25331,,,
561,-0.25074634000000007,28358,29.94,45,0.009999999776482582,0.0,-65.40077209472656,1.157299280166626,824,0.0003,25459,,,
563,-0.01637004000000001,28486,30.06,45,0.009999999776482582,0.0,-61.84818649291992,0.5419679880142212,828,0.0003,25587,,,
565,0.37298260999999977,28614,30.34,45,0.009999999776482582,0.0,-60.44392776489258,0.83321213722229,832,0.0003,25715,,,
567,-0.43535650000000037,28742,30.82,45,0.009999999776482582,0.0,-60.464107513427734,0.7089600563049316,836,0.0003,25843,,,
570,-0.6764716300000003,28870,31.38,45,0.009999999776482582,0.0,-62.08416748046875,0.9921165108680725,840,0.0003,25971,,,
