rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/success_rate,eval/mean_reward
24.0,35,191,280,6720,-14.021059919999997,0.0,0.0003,5719,-11.54517936706543,0.015420700423419476,-14.382564544677734,0.1798502802848816,,,
24.0,34,195,284,6816,-14.066148560000002,0.0,0.0003,5815,-11.737776756286621,0.018715161830186844,-14.308582305908203,0.1747458279132843,,,
24.0,34,198,288,6912,-14.096766679999998,0.0,0.0003,5911,-11.90184211730957,0.016812747344374657,-14.067176818847656,0.16978609561920166,,,
24.0,34,201,292,7008,-14.04311001,0.0,0.0003,6007,-12.097603797912598,0.01910347118973732,-13.74380111694336,0.16496551036834717,,,
24.0,34,204,296,7104,-14.11147891,0.0,0.0003,6103,-12.305742263793945,0.014880681410431862,-13.900989532470703,0.160284623503685,,,
24.0,34,207,300,7200,-14.094878369999996,0.0,0.0003,6199,-12.530149459838867,0.01808149367570877,-13.489628791809082,0.15573474764823914,,,
24.0,34,211,304,7296,-14.13336461,0.0,0.0003,6295,-12.774646759033203,0.016837110742926598,-13.47689437866211,0.15131527185440063,,,
24.0,34,214,308,7392,-14.25783471,0.0,0.0003,6391,-12.915155410766602,0.01744670420885086,-13.160834312438965,0.14701984822750092,,,
24.0,34,218,312,7488,-14.345357719999999,0.0,0.0003,6487,-13.078304290771484,0.02131800726056099,-13.038430213928223,0.1428469568490982,,,
24.0,34,221,316,7584,-14.434293129999999,0.0,0.0003,6583,-13.246419906616211,0.017322424799203873,-12.771079063415527,0.1387924998998642,,,
24.0,34,225,320,7680,-14.437582229999999,0.0,0.0003,6679,-13.48383617401123,0.01748213917016983,-12.71707534790039,0.13485459983348846,,,
24.0,33,229,324,7776,-14.451633049999996,0.0,0.0003,6775,-13.72767162322998,0.0233466774225235,-12.217618942260742,0.1310259848833084,,,
24.0,33,232,328,7872,-14.631706669999998,0.0,0.0003,6871,-13.821309089660645,0.021751638501882553,-12.051681518554688,0.12730583548545837,,,
24.0,33,235,332,7968,-14.644293870000002,0.0,0.0003,6967,-14.052058219909668,0.016025960445404053,-11.746238708496094,0.12369118630886078,,,
,,,,8000,,,0.0003,6999,-14.153166770935059,0.02141662873327732,-12.127228736877441,0.12250956147909164,24.0,0.0,-13.314685700000002
24.0,33,243,336,8064,-14.643472619999997,0.0,0.0003,7063,-14.272526741027832,0.01803535223007202,-11.587820053100586,0.12018031626939774,,,
24.0,33,247,340,8160,-14.702644869999999,0.0,0.0003,7159,-14.426946640014648,0.019358571618795395,-11.237470626831055,0.1167701855301857,,,
24.0,33,250,344,8256,-14.73113098,0.0,0.0003,7255,-14.672282218933105,0.021282389760017395,-11.116148948669434,0.11345566064119339,,,
24.0,32,253,348,8352,-14.687167100000002,0.0,0.0003,7351,-14.838616371154785,0.016762468963861465,-10.835379600524902,0.11023636907339096,,,
24.0,32,257,352,8448,-14.670497780000003,0.0,0.0003,7447,-15.044610977172852,0.02231740951538086,-10.638849258422852,0.10710760205984116,,,
24.0,32,260,356,8544,-14.70374781,0.0,0.0003,7543,-15.185417175292969,0.018646089360117912,-10.661693572998047,0.10406769812107086,,,
24.0,32,264,360,8640,-14.70631065,0.0,0.0003,7639,-15.456746101379395,0.01859445497393608,-10.234490394592285,0.10111517459154129,,,
24.0,32,268,364,8736,-14.640744900000001,0.0,0.0003,7735,-15.595724105834961,0.022685132920742035,-10.105751037597656,0.0982457622885704,,,
24.0,32,271,368,8832,-14.66488719,0.0,0.0003,7831,-15.839856147766113,0.022150227800011635,-9.699288368225098,0.0954577773809433,,,
24.0,32,275,372,8928,-14.76122904,0.0,0.0003,7927,-16.02781867980957,0.0164999570697546,-9.511053085327148,0.09274831414222717,,,
24.0,32,279,376,9024,-14.698308729999999,0.0,0.0003,8023,-16.210285186767578,0.018427740782499313,-9.093835830688477,0.0901172086596489,,,
24.0,32,282,380,9120,-14.570099530000004,0.0,0.0003,8119,-16.405927658081055,0.02018972486257553,-9.177650451660156,0.08755920827388763,,,
24.0,32,286,384,9216,-14.551520310000003,0.0,0.0003,8215,-16.623489379882812,0.022215720266103745,-8.888354301452637,0.08507391065359116,,,
24.0,32,289,388,9312,-14.522074129999998,0.0,0.0003,8311,-16.737030029296875,0.021768907085061073,-8.447975158691406,0.08265989273786545,,,
24.0,32,292,392,9408,-14.554140450000002,0.0,0.0003,8407,-17.03958511352539,0.02262817695736885,-8.337148666381836,0.08031536638736725,,,
24.0,32,296,396,9504,-14.502523590000003,0.0,0.0003,8503,-17.169523239135742,0.021452657878398895,-8.280317306518555,0.07803748548030853,,,
24.0,32,299,400,9600,-14.574254489999998,0.0,0.0003,8599,-17.277191162109375,0.027045847848057747,-8.101799964904785,0.07582367211580276,,,
24.0,31,303,404,9696,-14.58205128,0.0,0.0003,8695,-17.590538024902344,0.0238230898976326,-7.215264320373535,0.07367248088121414,,,
24.0,31,306,408,9792,-14.546766739999999,0.0,0.0003,8791,-17.682207107543945,0.020184531807899475,-7.464507102966309,0.07158302515745163,,,
24.0,31,309,412,9888,-14.596843780000002,0.0,0.0003,8887,-17.883758544921875,0.021530739963054657,-7.3401899337768555,0.06955254077911377,,,
24.0,31,313,416,9984,-14.48160026,0.0,0.0003,8983,-18.088546752929688,0.02154509909451008,-6.466039657592773,0.0675802230834961,,,
,,,,10000,,,0.0003,8999,-18.16866683959961,0.025692168623209,-6.912149906158447,0.06725697964429855,24.0,0.0,-13.8978975
24.0,31,322,420,10080,-14.520329829999998,0.0,0.0003,9079,-18.223356246948242,0.02076738514006138,-6.346920967102051,0.06566314399242401,,,
24.0,31,325,424,10176,-14.595052639999999,0.0,0.0003,9175,-18.506690979003906,0.02345331385731697,-5.88452672958374,0.0638013631105423,,,
24.0,31,329,428,10272,-14.465345289999995,0.0,0.0003,9271,-18.656675338745117,0.02593545988202095,-6.228372097015381,0.06199144572019577,,,
24.0,31,333,432,10368,-14.411146940000002,0.0,0.0003,9367,-18.852319717407227,0.02332484722137451,-5.711188793182373,0.06023303419351578,,,
24.0,31,337,436,10464,-14.442539750000002,0.0,0.0003,9463,-18.985145568847656,0.022124554961919785,-5.50152063369751,0.058524489402770996,,,
24.0,31,340,440,10560,-14.50540005,0.0,0.0003,9559,-19.21910285949707,0.022711893543601036,-5.155880928039551,0.05686437711119652,,,
24.0,30,343,444,10656,-14.470512439999998,0.0,0.0003,9655,-19.474027633666992,0.023650068789720535,-4.927138328552246,0.05525241419672966,,,
24.0,30,347,448,10752,-14.4796434,0.0,0.0003,9751,-19.641408920288086,0.0207386277616024,-5.0502119064331055,0.05368615686893463,,,
24.0,30,350,452,10848,-14.511392790000002,0.0,0.0003,9847,-19.88373374938965,0.020657120272517204,-4.773769378662109,0.05216468125581741,,,
24.0,30,354,456,10944,-14.514856610000002,0.0,0.0003,9943,-20.026689529418945,0.02626003697514534,-4.295079708099365,0.05068642646074295,,,
24.0,30,358,460,11040,-14.543342930000001,0.0,0.0003,10039,-20.19437026977539,0.023242849856615067,-3.887282371520996,0.04924954101443291,,,
24.0,30,361,464,11136,-14.487742579999999,0.0,0.0003,10135,-20.327598571777344,0.02460574172437191,-3.82173752784729,0.047854501754045486,,,
24.0,30,365,468,11232,-14.499456879999999,0.0,0.0003,10231,-20.628087997436523,0.02081366814672947,-3.432701587677002,0.046497832983732224,,,
24.0,30,368,472,11328,-14.431629249999999,0.0,0.0003,10327,-20.695903778076172,0.01927347108721733,-3.3186960220336914,0.045180484652519226,,,
