time/episodes,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,eval/success_rate,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss
92,1472,48,0.0,-7.233476195652173,30,16.0,,,,0.03110252320766449,0.8684160709381104,471,0.0003,-0.9486580491065979,-7.300851821899414
96,1536,51,0.0,-7.2456859375,29,16.0,,,,0.04130779951810837,0.8518977761268616,535,0.0003,-1.0789753198623657,-7.664273262023926
100,1600,53,0.0,-7.232778170000001,29,16.0,,,,0.02724515274167061,0.8356902003288269,599,0.0003,-1.2096632719039917,-8.111532211303711
104,1664,56,0.0,-7.310944430000001,29,16.0,,,,0.04339064657688141,0.8197957873344421,663,0.0003,-1.342120885848999,-8.483699798583984
108,1728,59,0.0,-7.412455809999999,29,16.0,,,,0.02649005502462387,0.8041937351226807,727,0.0003,-1.4638283252716064,-8.837773323059082
112,1792,62,0.0,-7.311618779999999,28,16.0,,,,0.03785412758588791,0.788893461227417,791,0.0003,-1.6033883094787598,-9.255213737487793
116,1856,64,0.0,-7.3843352200000005,28,16.0,,,,0.0313708633184433,0.7738825678825378,855,0.0003,-1.7223131656646729,-9.596216201782227
120,1920,67,0.0,-7.432695149999998,28,16.0,,,,0.038877472281455994,0.7591611742973328,919,0.0003,-1.8598122596740723,-9.94122314453125
124,1984,70,0.0,-7.552321199999998,28,16.0,,,,0.045890290290117264,0.7447258234024048,983,0.0003,-1.994118094444275,-10.222107887268066
,2000,,,,,,-7.371296200000001,16.0,0.0,0.041384655982255936,0.7411578297615051,999,0.0003,-2.0220706462860107,-10.358087539672852
128,2048,76,0.0,-7.5509493999999995,26,16.0,,,,0.039254702627658844,0.7305559515953064,1047,0.0003,-2.117422342300415,-10.612016677856445
132,2112,79,0.0,-7.59193171,26,16.0,,,,0.041821613907814026,0.7166571021080017,1111,0.0003,-2.24114727973938,-10.91691780090332
136,2176,81,0.0,-7.6201928400000005,26,16.0,,,,0.03698641061782837,0.7030245065689087,1175,0.0003,-2.3707940578460693,-11.282562255859375
140,2240,84,0.0,-7.7492750400000014,26,16.0,,,,0.04465862363576889,0.6896523237228394,1239,0.0003,-2.491999626159668,-11.59657096862793
144,2304,86,0.0,-7.80419749,26,16.0,,,,0.08481810986995697,0.6765368580818176,1303,0.0003,-2.6280336380004883,-11.788789749145508
148,2368,89,0.0,-7.7874838,26,16.0,,,,0.0408620648086071,0.6636710166931152,1367,0.0003,-2.760364294052124,-12.119722366333008
152,2432,92,0.0,-7.793779609999999,26,16.0,,,,0.025545863434672356,0.6510463953018188,1431,0.0003,-2.8889315128326416,-12.527816772460938
156,2496,94,0.0,-7.939904749999999,26,16.0,,,,0.036188580095767975,0.6386678814888,1495,0.0003,-3.0212271213531494,-12.70941162109375
160,2560,97,0.0,-7.93523967,26,16.0,,,,0.04361531883478165,0.6265212893486023,1559,0.0003,-3.1506290435791016,-12.984525680541992
164,2624,99,0.0,-7.947298229999999,26,16.0,,,,0.03995973616838455,0.6146073341369629,1623,0.0003,-3.2725939750671387,-13.300265312194824
168,2688,102,0.0,-8.05849532,26,16.0,,,,0.03825995326042175,0.602915346622467,1687,0.0003,-3.3968443870544434,-13.442834854125977
172,2752,105,0.0,-8.01410624,26,16.0,,,,0.050624120980501175,0.5914516448974609,1751,0.0003,-3.5359063148498535,-13.570337295532227
176,2816,107,0.0,-7.97334372,26,16.0,,,,0.04353109002113342,0.5802013874053955,1815,0.0003,-3.667706251144409,-13.577526092529297
180,2880,110,0.0,-7.91730887,26,16.0,,,,0.03206164389848709,0.5691673755645752,1879,0.0003,-3.7946064472198486,-14.109623908996582
184,2944,113,0.0,-7.8148597099999995,25,16.0,,,,0.03719853609800339,0.5583450198173523,1943,0.0003,-3.9311459064483643,-14.406458854675293
,3000,,,,,,-6.6165007000000005,16.0,0.0,0.03503624349832535,0.5490372776985168,1999,0.0003,-4.037696361541748,-14.333580017089844
188,3008,119,0.0,-7.837087989999999,25,16.0,,,,0.04900556057691574,0.5477209687232971,2007,0.0003,-4.053990364074707,-14.539900779724121
