rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-5.7010675100000014,1100,15,69,5.59,184,0.55900639295578,11.469179153442383,0.009999999776482582,0.0003,99,,,
0.0,-5.589264189999999,1116,16,68,5.54,188,0.6758232712745667,11.29875373840332,0.009999999776482582,0.0003,115,,,
0.0,-4.867187400000001,1132,16,68,5.41,192,0.38371923565864563,8.516998291015625,0.009999999776482582,0.0003,131,,,
0.0,-4.87560501,1148,16,67,5.4,196,0.6235125660896301,9.789730072021484,0.009999999776482582,0.0003,147,,,
0.0,-4.97747574,1164,17,67,5.36,200,0.46027296781539917,8.971090316772461,0.009999999776482582,0.0003,163,,,
0.0,-5.379959590000001,1180,17,67,5.34,204,0.41011562943458557,8.388360977172852,0.009999999776482582,0.0003,179,,,
0.0,-5.360459960000002,1196,17,66,5.3,208,0.40231385827064514,8.771778106689453,0.009999999776482582,0.0003,195,,,
0.0,-5.13566741,1212,18,66,5.28,212,0.808186948299408,8.92612361907959,0.009999999776482582,0.0003,211,,,
0.0,-5.178353039999999,1228,18,65,5.13,216,0.9032078981399536,9.395341873168945,0.009999999776482582,0.0003,227,,,
0.0,-5.50386281,1244,18,65,5.02,220,0.9559366106987,8.278463363647461,0.009999999776482582,0.0003,243,,,
0.0,-5.49390008,1260,19,65,4.96,224,1.0100725889205933,9.097139358520508,0.009999999776482582,0.0003,259,,,
0.0,-5.903662049999999,1276,19,64,4.9,228,0.694408118724823,7.245302200317383,0.009999999776482582,0.0003,275,,,
0.0,-6.071601820000001,1292,19,64,4.87,232,0.8059617280960083,8.170148849487305,0.009999999776482582,0.0003,291,,,
0.0,-5.649225180000001,1308,20,64,4.72,236,0.9110010862350464,8.736518859863281,0.009999999776482582,0.0003,307,,,
0.0,-5.6544870099999995,1324,20,64,4.69,240,0.7676723599433899,8.294313430786133,0.009999999776482582,0.0003,323,,,
0.0,-5.950155299999999,1340,20,63,4.69,244,0.5203210711479187,8.52410888671875,0.009999999776482582,0.0003,339,,,
0.0,-5.827202980000001,1356,21,63,4.53,248,0.7302074432373047,7.64585542678833,0.009999999776482582,0.0003,355,,,
0.0,-5.439054649999999,1372,21,63,4.43,252,0.8306187391281128,7.858691215515137,0.009999999776482582,0.0003,371,,,
0.0,-5.61514736,1388,21,63,4.39,256,0.8521090745925903,6.913752555847168,0.009999999776482582,0.0003,387,,,
0.0,-5.2910398899999995,1404,22,62,4.17,260,1.295846939086914,8.419387817382812,0.009999999776482582,0.0003,403,,,
0.0,-4.8459603,1432,22,62,4.15,264,1.082481026649475,7.9876909255981445,0.009999999776482582,0.0003,431,,,
0.0,-4.495191569999999,1448,23,62,4.13,268,0.9032268524169922,7.115785598754883,0.009999999776482582,0.0003,447,,,
0.0,-4.19642973,1464,23,62,4.12,272,0.7945991158485413,8.167800903320312,0.009999999776482582,0.0003,463,,,
0.0,-4.14841682,1480,23,61,4.12,276,1.228075385093689,7.678215980529785,0.009999999776482582,0.0003,479,,,
0.0,-3.7663733800000005,1496,24,61,4.12,280,1.532390832901001,8.286333084106445,0.009999999776482582,0.0003,495,,,
0.0,-3.9942346900000003,1524,24,61,4.24,284,1.340173602104187,7.643712520599365,0.009999999776482582,0.0003,523,,,
0.0,-4.15255256,1576,25,61,4.6,288,1.5951474905014038,8.018288612365723,0.009999999776482582,0.0003,575,,,
0.0,-4.824970120000001,1616,26,61,4.84,292,1.1509820222854614,8.281967163085938,0.009999999776482582,0.0003,615,,,
0.0,-4.525985989999999,1633,26,61,4.85,296,1.5246739387512207,6.799450874328613,0.009999999776482582,0.0003,632,,,
0.0,-4.359934769999999,1662,27,61,4.98,300,1.907955527305603,6.641267776489258,0.009999999776482582,0.0003,661,,,
0.0,-3.877465979999999,1678,27,60,4.98,304,1.2017464637756348,7.719551086425781,0.009999999776482582,0.0003,677,,,
0.0,-3.6450177999999998,1694,27,60,4.98,308,1.2753182649612427,9.315377235412598,0.009999999776482582,0.0003,693,,,
0.0,-4.436255899999999,1735,28,60,5.23,312,1.1854170560836792,8.824295043945312,0.009999999776482582,0.0003,734,,,
0.0,-3.892946399999999,1751,29,60,5.23,316,1.0772086381912231,8.669118881225586,0.009999999776482582,0.0003,750,,,
0.0,-3.50350626,1781,29,60,5.37,320,1.5352952480316162,9.297181129455566,0.009999999776482582,0.0003,780,,,
0.0,-3.89960965,1821,30,60,5.61,324,1.4227237701416016,8.397039413452148,0.009999999776482582,0.0003,820,,,
0.0,-3.87384405,1861,31,59,5.85,328,2.5443029403686523,6.468836307525635,0.009999999776482582,0.0003,860,,,
0.0,-3.86982877,1901,31,59,6.09,332,2.4632821083068848,7.385067939758301,0.009999999776482582,0.0003,900,,,
