rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef
0.0,63.51620073,12,536,10532,20.0,839,,,,-158.45864868164062,0.0003,9531,90.28117370605469,-0.11611302196979523,0.15720315277576447
0.0,64.35495613,12,540,10612,20.0,845,,,,-161.00987243652344,0.0003,9611,68.74705505371094,-1.3032453060150146,0.15708200633525848
0.0,65.17641892,12,544,10692,20.0,851,,,,-157.99827575683594,0.0003,9691,79.76654052734375,1.4620137214660645,0.15664638578891754
0.0,64.20091599,12,548,10772,20.0,856,,,,-159.35792541503906,0.0003,9771,71.09793090820312,1.2981343269348145,0.15700703859329224
0.0,64.80112249,12,552,10852,20.0,862,,,,-162.47976684570312,0.0003,9851,128.07220458984375,0.7281061410903931,0.15796171128749847
0.0,65.26940415000001,12,556,10932,20.0,868,,,,-165.54629516601562,0.0003,9931,66.87203979492188,0.6339344382286072,0.15835969150066376
,,,,11000,,,0.0,57.716853300000004,20.0,-159.6821746826172,0.0003,9999,67.90554809570312,0.8733190298080444,0.15972191095352173
0.0,65.03949566,12,560,11012,20.0,884,,,,-165.03836059570312,0.0003,10011,119.74288177490234,-0.7504826784133911,0.15988865494728088
0.0,65.15217237,12,564,11092,20.0,890,,,,-166.06129455566406,0.0003,10091,66.79694366455078,0.3911769688129425,0.16080863773822784
0.0,64.8692596,12,568,11172,20.0,896,,,,-164.94720458984375,0.0003,10171,98.29464721679688,-0.4974420368671417,0.16293248534202576
0.0,64.01005684,12,572,11252,20.0,902,,,,-166.5214080810547,0.0003,10251,111.05166625976562,0.28666290640830994,0.16278834640979767
0.0,65.03356899,12,576,11332,20.0,908,,,,-168.10092163085938,0.0003,10331,81.82352447509766,0.48990771174430847,0.1631849855184555
0.0,64.37199704,12,580,11412,20.0,914,,,,-168.8040771484375,0.0003,10411,45.218536376953125,-0.4130598306655884,0.1624763160943985
0.0,64.86759459,12,584,11492,20.0,920,,,,-170.40597534179688,0.0003,10491,123.24140930175781,0.05020138621330261,0.1622142344713211
0.0,65.55949322999999,12,588,11572,20.0,926,,,,-171.0943603515625,0.0003,10571,108.10781860351562,0.12493288516998291,0.16210870444774628
0.0,65.90967217000001,12,592,11652,20.0,932,,,,-172.8031768798828,0.0003,10651,107.50588989257812,0.23757293820381165,0.16196033358573914
0.0,66.20344983,12,596,11732,20.0,937,,,,-173.80210876464844,0.0003,10731,89.32365417480469,0.2919155955314636,0.16138827800750732
0.0,66.75574673999999,12,600,11812,20.0,943,,,,-171.85348510742188,0.0003,10811,91.07754516601562,0.7034190893173218,0.1599685102701187
0.0,65.7476814,12,604,11892,20.0,949,,,,-175.3811492919922,0.0003,10891,63.716094970703125,-0.4008539915084839,0.1588854342699051
0.0,66.74633596,12,608,11972,20.0,955,,,,-175.93447875976562,0.0003,10971,60.01709747314453,-1.5770597457885742,0.15896180272102356
,,,,12000,,,0.0,59.14279810000001,20.0,-178.35452270507812,0.0003,10999,79.2326889038086,-0.29628655314445496,0.15835122764110565
0.0,67.71541357999999,12,612,12052,20.0,970,,,,-176.29248046875,0.0003,11051,134.38211059570312,-1.303155779838562,0.1576707810163498
0.0,66.6885893,12,616,12132,20.0,976,,,,-177.8512725830078,0.0003,11131,125.44254302978516,0.003344006836414337,0.15642832219600677
0.0,66.84598092,12,620,12212,20.0,982,,,,-180.7686004638672,0.0003,11211,99.94026184082031,-1.2394533157348633,0.15590061247348785
0.0,66.83109754,12,624,12292,20.0,988,,,,-184.0171356201172,0.0003,11291,100.59706115722656,0.5789278745651245,0.15585340559482574
0.0,66.71651914,12,628,12372,20.0,993,,,,-183.5116424560547,0.0003,11371,121.97510528564453,0.3582935929298401,0.1556423306465149
0.0,66.91089702000001,12,632,12452,20.0,999,,,,-183.92361450195312,0.0003,11451,62.15180206298828,-0.6860222816467285,0.1549045741558075
0.0,66.05025437999998,12,636,12532,20.0,1004,,,,-186.0188446044922,0.0003,11531,52.903656005859375,-0.010744273662567139,0.15268336236476898
0.0,65.28438987,12,640,12612,20.0,1010,,,,-184.76516723632812,0.0003,11611,39.50482940673828,-0.9018368721008301,0.1523878425359726
0.0,63.59464382000001,12,644,12692,20.0,1015,,,,-185.29307556152344,0.0003,11691,64.27030944824219,-0.19398586452007294,0.15226562321186066
0.0,64.24686799999999,12,648,12772,20.0,1021,,,,-185.42689514160156,0.0003,11771,117.66122436523438,-0.06059001386165619,0.15242256224155426
0.0,64.31141971999999,12,652,12852,20.0,1025,,,,-186.01576232910156,0.0003,11851,111.73951721191406,1.0055012702941895,0.15181051194667816
0.0,65.31749558,12,656,12932,20.0,1029,,,,-188.24476623535156,0.0003,11931,112.803955078125,1.0214779376983643,0.15103688836097717
,,,,13000,,,0.0,56.405785,20.0,-186.84341430664062,0.0003,11999,130.30130004882812,1.842136025428772,0.15068411827087402
0.0,65.60135777999999,12,660,13012,20.0,1040,,,,-191.95851135253906,0.0003,12011,47.563446044921875,0.38792741298675537,0.15097782015800476
0.0,65.63686958999999,12,664,13092,20.0,1044,,,,-189.12527465820312,0.0003,12091,81.89067077636719,0.03646012395620346,0.15002691745758057
0.0,65.60678238999999,12,668,13172,20.0,1049,,,,-190.62619018554688,0.0003,12171,67.37727355957031,-1.1207870244979858,0.14882834255695343
